Customer_ID,Name,Age,Gender,Email,Phone,Address,City,State,Country,Zip,Registration_Date,Last_Login,Account_Balance,Subscription_Status,Feedback_Score,Preferred_Language,Device_Type,Referral_Code,Purchase_Count
CUST1374,,25,Female,user433@example.com,9123456780,123 St,,IL,,,11/20/2019,,0,Cancelled,4,,Desktop,,1
CUST1283,John Doe,45,M,user627@example.com,9988776655,,New York,,,60601,,,100,Active,1,English,,,
CUST1000,Alice,30,M,user708@example.com,,789 Blvd,Chicago,IL,,60601,6/15/2020,,0,Cancelled,,,,REF123,0
CUST6865,Alice,50,,user418@example.com,9876543210,,New York,,,90001,1/1/2021,5/5/2023,100,Inactive,3,French,Desktop,REF123,
CUST9633,,30,M,user343@example.com,9123456780,,Los Angeles,NY,USA,10001,,12/1/2022,250.5,Cancelled,4,Spanish,Mobile,REF456,
CUST5364,,40,Male,user6@example.com,9876543210,456 Ave,New York,,US,10001,,12/1/2022,,Active,2,English,,REF456,2
CUST3220,John Doe,45,Male,,9988776655,456 Ave,Los Angeles,CA,,,,12/1/2022,,Cancelled,5,,,REF456,3
CUST8009,Sam,25,Other,user153@example.com,,,Los Angeles,,,,1/1/2021,12/1/2022,0,Active,3,French,,REF123,0
CUST2486,,25,M,user655@example.com,,,,CA,,,1/1/2021,,250.5,Inactive,3,,Desktop,,2
CUST9928,Jane Smith,50,F,user131@example.com,9876543210,789 Blvd,Chicago,,US,10001,11/20/2019,12/1/2022,,Inactive,1,,Desktop,REF456,0
CUST5976,John Doe,45,,user808@example.com,9123456780,456 Ave,Houston,NY,,,6/15/2020,5/5/2023,250.5,Active,1,English,,,3
CUST3545,,30,Other,user940@example.com,9123456780,789 Blvd,New York,IL,,,1/1/2021,12/1/2022,0,Inactive,2,,Tablet,REF456,1
CUST6344,,,Male,,,456 Ave,Chicago,,USA,,6/15/2020,,250.5,Active,3,,Mobile,,
CUST6008,Jane Smith,35,Female,user277@example.com,9123456780,123 St,Houston,CA,,90001,,,100,Inactive,,Spanish,Mobile,,
CUST3675,,40,M,user998@example.com,,,Chicago,,,,,,,,5,,,REF123,0
CUST1782,,30,Female,user818@example.com,,,Los Angeles,,USA,,6/15/2020,,1000,Inactive,2,English,,,2
CUST2003,,35,M,user305@example.com,9876543210,,Chicago,CA,,90001,6/15/2020,,250.5,Cancelled,5,French,Mobile,,1
CUST8018,John Doe,40,F,user762@example.com,,456 Ave,New York,CA,US,,,12/1/2022,0,Cancelled,3,English,Tablet,,2
CUST6830,,25,M,user744@example.com,9876543210,123 St,New York,IL,,10001,6/15/2020,5/5/2023,100,Active,1,,Desktop,,3
CUST8543,Sam,30,Female,,9123456780,789 Blvd,,,,10001,11/20/2019,5/5/2023,,Cancelled,3,French,,REF123,3
CUST3657,Sam,25,Male,,9123456780,,Houston,,,90001,,,100,,2,Spanish,Tablet,,0
CUST5695,Alice,25,Male,,9876543210,,,,,,,12/1/2022,100,Inactive,3,,,,2
CUST6508,,40,F,user795@example.com,9123456780,,Chicago,IL,USA,10001,,,,Active,1,,Mobile,REF123,3
CUST4218,John Doe,30,Female,user405@example.com,9988776655,,Houston,,US,,1/1/2021,12/1/2022,250.5,,3,French,Desktop,,
CUST1835,Jane Smith,50,Other,,9876543210,,Chicago,IL,,,1/1/2021,12/1/2022,1000,,1,Spanish,Mobile,REF456,1
,Sam,35,Female,user880@example.com,,123 St,Los Angeles,NY,USA,60601,6/15/2020,5/5/2023,250.5,Active,,,Tablet,REF123,0
CUST7532,John Doe,30,F,user600@example.com,,123 St,Houston,CA,,60601,1/1/2021,12/1/2022,1000,Inactive,2,Spanish,,REF456,0
CUST1215,Alice,40,Female,user592@example.com,9123456780,789 Blvd,New York,IL,US,,6/15/2020,,250.5,,,,,,1
CUST8093,Alice,25,Male,user112@example.com,9123456780,456 Ave,New York,TX,USA,90001,1/1/2021,12/1/2022,100,,1,English,Mobile,,1
CUST8743,John Doe,25,F,user396@example.com,9988776655,789 Blvd,,IL,,10001,11/20/2019,,250.5,Active,,French,,,
CUST2946,John Doe,40,M,user627@example.com,9876543210,789 Blvd,,CA,,60601,1/1/2021,5/5/2023,1000,Active,2,French,,REF456,
CUST8698,Jane Smith,,Other,user196@example.com,9876543210,789 Blvd,New York,IL,USA,60601,,,1000,,1,English,,,0
CUST6808,,30,F,user399@example.com,9988776655,,New York,IL,USA,,6/15/2020,,1000,Inactive,3,English,Mobile,,3
,John Doe,30,Female,user528@example.com,9988776655,,Chicago,,,,,,250.5,Active,3,French,,,
CUST6390,Sam,,F,user59@example.com,,,New York,CA,,,,,100,,3,French,Desktop,,0
CUST9108,John Doe,50,Female,user919@example.com,9988776655,,Chicago,IL,US,,,,0,Inactive,,,Mobile,REF456,3
CUST1407,Sam,45,Female,user775@example.com,9876543210,789 Blvd,Houston,,,90001,11/20/2019,5/5/2023,0,Active,4,,Tablet,,2
CUST6821,Alice,35,M,user403@example.com,,123 St,New York,CA,US,90001,1/1/2021,,,Inactive,3,,Mobile,REF123,0
CUST1565,,25,Female,,9876543210,789 Blvd,New York,TX,US,60601,1/1/2021,,100,Active,5,English,,,1
CUST9546,John Doe,25,Female,user499@example.com,9988776655,789 Blvd,Chicago,,US,10001,11/20/2019,,,Active,,,Mobile,REF123,0
CUST7493,,,M,,,,,TX,USA,10001,,12/1/2022,100,Inactive,2,,Mobile,,
CUST4223,Jane Smith,30,F,user810@example.com,9988776655,789 Blvd,New York,,USA,90001,6/15/2020,,,Cancelled,1,,Tablet,REF123,
CUST5054,Jane Smith,,,,9123456780,789 Blvd,Chicago,NY,USA,,11/20/2019,12/1/2022,,Active,2,English,Tablet,,2
CUST3558,Alice,45,F,user56@example.com,,,New York,CA,US,60601,1/1/2021,,1000,Active,4,French,Tablet,REF123,1
CUST7288,Sam,25,M,user901@example.com,9988776655,123 St,New York,IL,US,60601,6/15/2020,12/1/2022,0,,5,Spanish,,,0
,John Doe,40,Male,,9123456780,,Houston,IL,USA,,6/15/2020,,0,,3,English,,,3
CUST4413,Sam,40,Male,user826@example.com,,,New York,CA,,,6/15/2020,,0,Active,3,Spanish,,,2
CUST3636,John Doe,35,M,user946@example.com,,,Houston,NY,,90001,,,1000,Active,,French,Tablet,,
CUST3219,Sam,45,Other,user617@example.com,9123456780,,Houston,CA,,60601,11/20/2019,,,Inactive,2,Spanish,Mobile,REF123,
CUST2829,John Doe,45,Other,user659@example.com,9988776655,789 Blvd,New York,,USA,60601,,12/1/2022,250.5,Inactive,2,English,Desktop,,
CUST5271,Jane Smith,35,M,user403@example.com,9123456780,,,,US,,1/1/2021,5/5/2023,100,Active,2,English,Desktop,,1
CUST6464,,45,Female,,9988776655,,Chicago,IL,,,1/1/2021,,0,Inactive,,,Tablet,,2
CUST4987,,45,Male,,9876543210,456 Ave,Chicago,TX,US,90001,,5/5/2023,100,Cancelled,5,,Desktop,REF456,0
CUST7101,Alice,45,Other,user701@example.com,,123 St,Los Angeles,CA,USA,60601,1/1/2021,,1000,Inactive,2,English,,,0
CUST6360,Alice,40,Female,user614@example.com,9876543210,,,IL,USA,,,12/1/2022,100,,4,Spanish,Tablet,REF456,
CUST8126,Jane Smith,,M,,,789 Blvd,Chicago,,,,6/15/2020,,1000,,1,Spanish,,,2
CUST1627,John Doe,25,,user349@example.com,9988776655,,Los Angeles,,US,,,,,Cancelled,2,French,,,
CUST5614,John Doe,50,Male,user727@example.com,9988776655,456 Ave,New York,IL,US,60601,,12/1/2022,1000,Cancelled,1,,Desktop,REF456,
CUST7871,Alice,,M,user596@example.com,,456 Ave,Los Angeles,,,90001,6/15/2020,12/1/2022,100,,1,English,Desktop,REF123,2
CUST2566,Sam,30,Other,user315@example.com,,789 Blvd,,IL,,10001,1/1/2021,,250.5,Inactive,2,English,,REF123,3
CUST7901,Sam,25,,,9123456780,789 Blvd,,,US,,,5/5/2023,100,,1,French,Desktop,,3
CUST8715,Sam,25,Male,,,123 St,Los Angeles,TX,USA,10001,11/20/2019,,,,3,English,,,1
CUST2343,Sam,45,Female,user149@example.com,9123456780,,Houston,,USA,90001,1/1/2021,12/1/2022,,Inactive,1,English,,REF456,
CUST8447,Jane Smith,30,Other,,9876543210,,Los Angeles,NY,,90001,6/15/2020,12/1/2022,250.5,Active,2,,,,0
CUST1556,Sam,35,,user680@example.com,9123456780,,,,US,90001,1/1/2021,12/1/2022,0,Inactive,5,Spanish,,,2
CUST8458,,25,Male,user523@example.com,9876543210,123 St,,TX,US,90001,11/20/2019,5/5/2023,1000,Cancelled,,Spanish,Desktop,REF456,2
CUST4374,Sam,25,Male,,9876543210,456 Ave,Houston,IL,,60601,6/15/2020,5/5/2023,250.5,Inactive,3,,,,3
CUST3970,Alice,35,M,user237@example.com,9123456780,,Chicago,NY,USA,60601,11/20/2019,,0,Cancelled,,,,REF456,0
CUST6631,Alice,30,Female,,9123456780,123 St,Chicago,IL,,90001,,12/1/2022,,Cancelled,4,French,Mobile,,2
CUST4659,John Doe,,Female,,,456 Ave,Houston,NY,USA,10001,11/20/2019,12/1/2022,,,4,Spanish,,,0
CUST1100,Alice,25,Other,user818@example.com,,,Houston,,,,6/15/2020,5/5/2023,250.5,,2,French,Mobile,REF456,0
CUST1641,,35,M,user706@example.com,,123 St,New York,TX,US,10001,1/1/2021,,0,,5,French,,REF123,
CUST1540,Sam,50,,user763@example.com,,789 Blvd,New York,TX,,,1/1/2021,12/1/2022,,,2,,,REF123,0
,Alice,45,Other,user232@example.com,,789 Blvd,New York,TX,,,11/20/2019,5/5/2023,100,,2,French,,,0
CUST9749,Alice,25,Other,user920@example.com,,123 St,Chicago,,,,6/15/2020,12/1/2022,,Inactive,1,,Mobile,,1
CUST8288,John Doe,30,F,user234@example.com,9876543210,456 Ave,Chicago,NY,USA,,6/15/2020,,250.5,Cancelled,1,,Desktop,,2
CUST9734,John Doe,45,Female,user902@example.com,9876543210,123 St,New York,,US,10001,11/20/2019,5/5/2023,1000,Active,1,,,,3
CUST5372,,50,Male,user216@example.com,9876543210,456 Ave,Los Angeles,,USA,90001,1/1/2021,5/5/2023,,Inactive,4,French,Tablet,REF123,3
CUST9858,John Doe,,F,user892@example.com,,123 St,Los Angeles,TX,,10001,6/15/2020,,250.5,Inactive,3,Spanish,Mobile,,2
,Jane Smith,45,Male,user785@example.com,,123 St,New York,,USA,90001,1/1/2021,,,,4,French,Tablet,REF456,3
CUST6910,Alice,,F,user250@example.com,9123456780,,,NY,USA,,,,,,2,Spanish,,,0
,,25,,user843@example.com,,456 Ave,Houston,,,90001,6/15/2020,5/5/2023,1000,Cancelled,5,Spanish,Mobile,,
CUST8302,Jane Smith,30,F,user757@example.com,,,Chicago,,US,60601,6/15/2020,,1000,,5,,Mobile,REF456,
CUST9311,Alice,,,user344@example.com,9123456780,789 Blvd,,IL,US,10001,6/15/2020,12/1/2022,1000,Inactive,4,,Tablet,,3
CUST9008,Alice,45,Female,user497@example.com,9876543210,789 Blvd,Los Angeles,,USA,,6/15/2020,5/5/2023,,Active,,Spanish,Desktop,REF123,2
CUST5706,,25,F,user23@example.com,9988776655,,New York,,,,,,1000,,1,,,REF123,
CUST8801,Jane Smith,40,Male,,9988776655,,Los Angeles,IL,,10001,1/1/2021,,,,5,,,REF123,3
CUST2273,John Doe,25,M,user64@example.com,,456 Ave,,,,90001,6/15/2020,,0,,4,,Mobile,REF456,2
CUST4733,John Doe,50,,user808@example.com,,,New York,,US,,11/20/2019,12/1/2022,250.5,,3,English,Mobile,REF456,
CUST7211,Jane Smith,35,Male,user185@example.com,9876543210,,Houston,NY,US,10001,1/1/2021,,100,,,,,,
CUST7687,Alice,,Other,user64@example.com,9988776655,123 St,Los Angeles,,US,,,,100,Cancelled,5,,,REF123,2
CUST7168,Alice,45,Other,,9988776655,789 Blvd,,IL,USA,60601,,,100,,2,French,,,1
CUST7947,Jane Smith,25,,user873@example.com,,789 Blvd,,,USA,60601,,,0,Inactive,1,French,Mobile,REF456,
CUST2665,Alice,30,,user658@example.com,9123456780,456 Ave,New York,TX,,60601,11/20/2019,12/1/2022,,Cancelled,1,English,,,
CUST1867,John Doe,45,Other,user932@example.com,,789 Blvd,,,,60601,1/1/2021,5/5/2023,0,,3,English,,,
CUST6936,Sam,,F,user228@example.com,,123 St,,CA,US,,6/15/2020,5/5/2023,1000,,5,French,,,
CUST2544,Jane Smith,,F,user618@example.com,,123 St,,NY,,,,,250.5,,2,,,,2
CUST6743,Jane Smith,45,,,9988776655,789 Blvd,Houston,IL,USA,,1/1/2021,5/5/2023,0,Cancelled,1,Spanish,,REF456,3
CUST9623,,35,Other,user592@example.com,,456 Ave,,IL,US,,,,250.5,,2,French,Tablet,,1
CUST8935,,25,F,user996@example.com,,,New York,TX,,10001,,5/5/2023,0,Cancelled,5,French,Mobile,REF123,2
CUST1287,Alice,45,,user907@example.com,9988776655,123 St,Chicago,CA,US,,11/20/2019,5/5/2023,250.5,,5,French,,,3
CUST8163,Jane Smith,25,Female,user625@example.com,9988776655,,New York,,US,,1/1/2021,,0,,3,,,REF123,0
CUST2970,,35,Other,user599@example.com,9876543210,,Los Angeles,IL,USA,10001,,,100,,3,French,,,
CUST4018,Sam,25,,user904@example.com,,456 Ave,Houston,,,90001,,,0,Inactive,3,English,Mobile,REF123,0
CUST6856,Alice,,Other,user727@example.com,9988776655,123 St,Houston,,,,1/1/2021,5/5/2023,250.5,,3,French,,,
CUST7429,Alice,40,Other,user816@example.com,9123456780,789 Blvd,New York,,,60601,1/1/2021,12/1/2022,,,,English,Desktop,,
CUST7895,,30,M,,9988776655,123 St,Houston,,,60601,11/20/2019,12/1/2022,0,Cancelled,4,,Tablet,REF123,
CUST6052,John Doe,40,F,user872@example.com,,123 St,Los Angeles,,,,1/1/2021,5/5/2023,1000,Cancelled,1,Spanish,,REF456,1
CUST3497,Jane Smith,40,Female,user836@example.com,,789 Blvd,,TX,USA,90001,,12/1/2022,,,3,,Tablet,REF123,
CUST9927,Alice,40,,user585@example.com,9123456780,789 Blvd,Chicago,,USA,,6/15/2020,12/1/2022,100,,3,,,,1
CUST5863,Jane Smith,,Male,user284@example.com,9988776655,123 St,New York,TX,,,11/20/2019,,,,4,,,REF123,1
CUST4988,Alice,30,,user470@example.com,9876543210,,Chicago,IL,USA,10001,11/20/2019,,1000,Active,3,French,,,3
CUST8813,Sam,30,Male,user826@example.com,,123 St,Chicago,,USA,60601,11/20/2019,,100,Cancelled,1,French,Desktop,REF123,2
CUST8620,Jane Smith,50,Other,user359@example.com,9988776655,789 Blvd,Houston,IL,,60601,,,,,4,French,Tablet,,3
CUST5300,John Doe,50,Other,user896@example.com,,456 Ave,Los Angeles,IL,US,,6/15/2020,5/5/2023,1000,,5,French,,,2
,Jane Smith,,M,,9123456780,,Los Angeles,IL,USA,10001,1/1/2021,5/5/2023,100,,3,,,,0
CUST9290,Jane Smith,45,Female,user492@example.com,9988776655,,New York,CA,,90001,,12/1/2022,,,,,Mobile,REF123,3
CUST2742,Alice,25,Female,user613@example.com,9876543210,456 Ave,Chicago,,US,10001,6/15/2020,12/1/2022,250.5,,3,Spanish,Mobile,REF456,0
CUST9746,,30,F,user273@example.com,9988776655,789 Blvd,,IL,US,,1/1/2021,,100,,1,Spanish,Desktop,REF456,
CUST3060,,25,M,user113@example.com,9876543210,456 Ave,Chicago,IL,USA,10001,6/15/2020,,250.5,Cancelled,,Spanish,,REF456,2
CUST4187,John Doe,45,Female,user93@example.com,,,Houston,CA,USA,10001,6/15/2020,12/1/2022,250.5,,,,Mobile,REF123,
CUST1974,Sam,40,,user638@example.com,9876543210,,,,,,6/15/2020,,100,,5,English,Desktop,REF456,2
CUST2105,,30,F,user903@example.com,9988776655,,Houston,NY,US,10001,1/1/2021,5/5/2023,100,Inactive,1,French,,REF456,3
CUST8911,Alice,30,Female,user209@example.com,9123456780,456 Ave,,,US,,1/1/2021,5/5/2023,1000,Active,1,,Desktop,,1
CUST1849,,,,user606@example.com,,123 St,Houston,IL,,,11/20/2019,,100,,3,,,,1
CUST9855,John Doe,35,Other,user90@example.com,9988776655,,Houston,CA,,,11/20/2019,12/1/2022,0,Active,,Spanish,,,3
CUST3541,,30,Male,user460@example.com,9876543210,,New York,CA,USA,,11/20/2019,12/1/2022,0,Cancelled,3,,Tablet,REF123,0
CUST1895,John Doe,30,Other,user272@example.com,,123 St,Houston,NY,,10001,,12/1/2022,1000,,,,,,1
CUST2585,,50,F,user185@example.com,9988776655,123 St,Chicago,IL,US,60601,11/20/2019,5/5/2023,1000,Active,,,,,1
CUST8995,Jane Smith,35,,user287@example.com,,456 Ave,Los Angeles,CA,,10001,1/1/2021,,100,Inactive,2,,,,3
CUST3178,Jane Smith,,Female,user253@example.com,,,Los Angeles,,US,10001,,,100,Active,3,Spanish,Mobile,REF123,
CUST5862,,35,Male,user21@example.com,9988776655,456 Ave,New York,TX,US,,,,1000,Inactive,5,,Desktop,REF456,0
CUST8495,Sam,45,M,user731@example.com,9988776655,,Houston,CA,US,90001,1/1/2021,,250.5,Inactive,3,,Mobile,,2
CUST5515,Alice,50,F,user31@example.com,,123 St,Chicago,,,,11/20/2019,,1000,Active,3,French,Desktop,,0
CUST5828,Alice,35,M,user265@example.com,9876543210,789 Blvd,Los Angeles,NY,,90001,1/1/2021,5/5/2023,1000,Inactive,4,,Desktop,,2
CUST1351,Jane Smith,35,Female,user859@example.com,,789 Blvd,Los Angeles,CA,USA,10001,11/20/2019,,1000,Inactive,5,Spanish,Mobile,,0
CUST9699,John Doe,50,F,user108@example.com,9123456780,,Chicago,IL,,,1/1/2021,5/5/2023,,,1,,Mobile,REF123,
CUST4787,John Doe,40,Male,user126@example.com,9988776655,,Houston,,US,,,,1000,Cancelled,1,,,REF123,2
CUST6729,,40,,user543@example.com,,789 Blvd,New York,NY,US,,6/15/2020,,1000,Inactive,2,Spanish,Mobile,,2
CUST1925,Jane Smith,30,F,user584@example.com,9988776655,789 Blvd,Houston,NY,,,11/20/2019,,100,Active,4,Spanish,Desktop,,
CUST4524,John Doe,35,M,user281@example.com,9988776655,,New York,,USA,,6/15/2020,,250.5,Inactive,3,Spanish,Desktop,REF123,
CUST8951,Sam,40,Other,user312@example.com,,789 Blvd,New York,,,90001,11/20/2019,5/5/2023,0,,4,Spanish,Mobile,,0
CUST7325,John Doe,30,Other,user784@example.com,,789 Blvd,,,US,90001,,12/1/2022,100,Cancelled,5,French,Mobile,,
CUST8076,John Doe,30,Female,user519@example.com,9988776655,,Los Angeles,CA,US,,1/1/2021,,0,Active,3,English,Tablet,,
CUST1090,,35,Female,user63@example.com,,123 St,,TX,,,6/15/2020,5/5/2023,,,1,French,Mobile,REF123,2
CUST8528,,30,Male,user222@example.com,,456 Ave,New York,NY,,60601,1/1/2021,5/5/2023,,,2,,Desktop,,3
CUST3738,,50,Other,,9123456780,789 Blvd,Houston,,US,60601,,5/5/2023,100,Inactive,4,English,,,2
CUST5220,Sam,45,Female,,9988776655,789 Blvd,Los Angeles,IL,,10001,11/20/2019,5/5/2023,100,Active,3,Spanish,,,1
CUST2386,John Doe,30,Male,user762@example.com,9876543210,,Houston,CA,US,,11/20/2019,12/1/2022,100,Cancelled,,French,Mobile,,
,,45,M,user809@example.com,9876543210,,,TX,,,6/15/2020,5/5/2023,250.5,Active,5,French,Tablet,REF123,
CUST7173,,,Other,,9123456780,123 St,Houston,IL,,,6/15/2020,12/1/2022,100,Inactive,4,English,Desktop,,2
CUST5782,Sam,35,F,user614@example.com,9123456780,,New York,,,,,,250.5,Cancelled,4,,,,0
CUST6300,,45,Female,user415@example.com,,123 St,Chicago,,USA,60601,11/20/2019,5/5/2023,250.5,Inactive,5,French,Tablet,,3
,,40,M,user363@example.com,,123 St,Los Angeles,,,10001,6/15/2020,12/1/2022,,Cancelled,4,,,REF123,
CUST5808,,45,F,,9876543210,123 St,Chicago,IL,US,60601,11/20/2019,5/5/2023,0,,5,English,Tablet,REF123,
CUST7327,,40,F,user42@example.com,9988776655,789 Blvd,Los Angeles,,,,6/15/2020,,1000,Inactive,,,,,
CUST6987,Alice,35,F,user80@example.com,,789 Blvd,Los Angeles,TX,US,,11/20/2019,5/5/2023,100,,3,English,Desktop,REF123,
CUST7104,Alice,30,Male,user943@example.com,9123456780,789 Blvd,Chicago,CA,USA,,6/15/2020,,250.5,,2,,,REF456,1
CUST4206,,,Other,user734@example.com,9123456780,789 Blvd,Los Angeles,NY,,60601,6/15/2020,,250.5,Inactive,,,Tablet,,1
CUST6755,,30,F,user299@example.com,9876543210,,,,,90001,1/1/2021,,,Cancelled,5,,Desktop,REF123,1
CUST2297,John Doe,30,Male,user94@example.com,9876543210,,New York,,,10001,11/20/2019,,100,Cancelled,4,,,,2
,,40,M,,,456 Ave,,,,10001,1/1/2021,12/1/2022,0,,5,,,REF456,
,Alice,25,F,user268@example.com,9123456780,789 Blvd,,TX,US,90001,,,,Inactive,3,French,Tablet,REF123,0
CUST8492,John Doe,30,Female,user927@example.com,9876543210,,New York,NY,,90001,6/15/2020,,0,Active,4,English,Desktop,REF456,2
CUST6361,Jane Smith,35,M,,9123456780,123 St,Houston,TX,,90001,6/15/2020,,,,5,French,,REF456,
,John Doe,25,F,user343@example.com,,456 Ave,,,,60601,1/1/2021,,0,Active,5,,Desktop,REF456,
CUST3046,Jane Smith,45,,user633@example.com,9988776655,,New York,,USA,,,12/1/2022,,Active,3,Spanish,Mobile,REF123,1
CUST8992,Jane Smith,50,F,,,,Houston,,USA,,1/1/2021,,1000,Active,4,Spanish,Tablet,,2
CUST6585,Sam,50,Female,user23@example.com,9123456780,456 Ave,,TX,USA,10001,6/15/2020,5/5/2023,100,Active,1,,,REF456,3
CUST1422,John Doe,50,Female,user309@example.com,9876543210,123 St,Houston,TX,,,1/1/2021,,0,Cancelled,3,,,REF456,0
CUST4345,Jane Smith,45,Male,,9123456780,,,IL,USA,60601,1/1/2021,12/1/2022,,Inactive,,,Mobile,REF123,1
CUST5677,,50,Female,user197@example.com,,789 Blvd,Los Angeles,CA,,90001,6/15/2020,,,Cancelled,,English,Tablet,REF123,
CUST7846,Alice,25,M,user212@example.com,9876543210,,Los Angeles,NY,,,11/20/2019,12/1/2022,,,1,,Desktop,REF456,
CUST3670,Sam,30,F,user64@example.com,9123456780,,Los Angeles,,USA,10001,1/1/2021,,1000,Inactive,5,,,REF456,
CUST2344,Sam,45,Female,user578@example.com,9123456780,,Chicago,CA,USA,90001,11/20/2019,12/1/2022,250.5,Cancelled,2,English,Mobile,,
CUST7040,Sam,25,M,user285@example.com,9988776655,123 St,Houston,,US,90001,,12/1/2022,,Active,5,Spanish,Desktop,REF456,0
CUST3328,Jane Smith,45,Other,user711@example.com,,789 Blvd,Los Angeles,NY,US,60601,1/1/2021,,,Cancelled,4,Spanish,Mobile,REF456,
CUST4203,Alice,35,Male,user840@example.com,,789 Blvd,Houston,,US,90001,11/20/2019,5/5/2023,250.5,Inactive,5,,,REF123,
CUST1804,Alice,30,Male,user915@example.com,9123456780,789 Blvd,Chicago,CA,US,60601,11/20/2019,5/5/2023,100,,3,,,,
CUST4348,Sam,45,F,user308@example.com,9123456780,,New York,CA,USA,10001,11/20/2019,,0,Active,3,,Desktop,,
CUST6285,John Doe,,,,9988776655,456 Ave,,CA,US,,6/15/2020,12/1/2022,,Inactive,2,,,,1
CUST2630,,25,F,user912@example.com,,789 Blvd,New York,CA,,60601,1/1/2021,5/5/2023,0,,5,,,REF456,1
CUST8826,,35,Other,user346@example.com,9988776655,123 St,,TX,,90001,1/1/2021,,,Cancelled,1,French,Desktop,REF456,1
CUST6478,Alice,40,,,9876543210,789 Blvd,New York,NY,US,,1/1/2021,12/1/2022,250.5,Inactive,5,English,,,
CUST3136,John Doe,35,Female,,9123456780,456 Ave,,NY,US,,,,100,Inactive,2,English,,REF456,
CUST4085,,50,Other,user603@example.com,,,Los Angeles,IL,,90001,11/20/2019,12/1/2022,0,Cancelled,1,English,Mobile,,1
CUST5806,,45,F,,,,,IL,,60601,1/1/2021,,0,Active,3,French,Tablet,,1
CUST6020,,30,Other,user3@example.com,9988776655,,Los Angeles,CA,,,6/15/2020,,1000,,,French,Tablet,,2
CUST5806,Jane Smith,50,Other,user415@example.com,9988776655,789 Blvd,Chicago,,US,,,5/5/2023,0,,2,French,,REF123,
CUST1125,Jane Smith,25,Other,user611@example.com,9876543210,,Los Angeles,IL,,10001,,5/5/2023,0,,3,English,,,
CUST1369,Alice,40,M,user219@example.com,,456 Ave,New York,CA,USA,,11/20/2019,12/1/2022,0,Active,1,Spanish,,REF456,2
CUST4506,Jane Smith,45,Female,user953@example.com,9876543210,,,,,10001,6/15/2020,,250.5,Active,4,English,Mobile,,
,John Doe,45,Other,user770@example.com,9988776655,,Chicago,,USA,60601,,,,Active,5,Spanish,Mobile,,
CUST3248,Alice,,M,user545@example.com,,789 Blvd,,CA,USA,,11/20/2019,,,,,,Mobile,REF456,1
CUST8270,John Doe,25,Male,user193@example.com,9123456780,,,,US,60601,11/20/2019,,1000,,1,French,Desktop,,
CUST3037,,45,M,user710@example.com,,789 Blvd,Houston,TX,US,,1/1/2021,5/5/2023,100,,2,English,Tablet,REF123,2
CUST4091,Sam,35,Other,user840@example.com,9876543210,789 Blvd,Chicago,TX,,60601,,12/1/2022,0,,,,Desktop,REF123,0
CUST5796,John Doe,50,,user525@example.com,,456 Ave,Houston,TX,,60601,,5/5/2023,,Active,3,English,,,0
CUST8632,Jane Smith,45,Other,user954@example.com,,456 Ave,New York,NY,US,,,,100,Active,4,,Desktop,REF456,0
